D0-fm,P15,P20-nr,P20-pr,Regulon
1.152838815,0.479633395,-1.049079095,-0.583393114,NR2F2 (168g)
1.197358647,0.450757651,-0.774027436,-0.874088862,MAF_extended (85g)
1.224241984,0.409029608,-0.808320209,-0.824951383,GATA4 (17g)
0.875574873,0.397603433,-1.4318214,0.158643093,NFE2L2 (64g)
1.142642591,0.38766835,-1.197101863,-0.333209077,FOXA1 (565g)
1.018574312,0.348604963,-0.010391538,-1.356787738,HCFC1 (115g)
1.25064159,0.337616942,-0.968238184,-0.620020349,PITX2 (14g)
1.144906736,0.307409111,-1.245810474,-0.206505373,THRB (128g)
1.243913362,0.302183344,-1.061281992,-0.484814715,HOXD8_extended (14g)
1.208032053,0.225338273,-1.197624855,-0.235745471,ZNF251 (11g)
1.326271024,0.187330598,-0.930607429,-0.582994194,HNF4A (1185g)
1.340721888,0.183928961,-0.705956764,-0.818694085,GTF2F1 (47g)
