"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ENSG00000289205",4.37901121421171e-287,2.94078854095228,0.355,0.042,1.69056106935857e-282,"Epi"
"ENSG00000203279",0,2.93958436808217,0.682,0.132,0,"Epi"
"PIM2",0,2.92456549183552,0.406,0.051,0,"Epi"
"YBX2",8.42115468350838e-226,2.91049876351832,0.319,0.044,3.25107097711525e-221,"Epi"
"ATCAY",2.37749156851657e-213,2.90351315696196,0.272,0.033,9.17854394941505e-209,"Epi"
"SLAIN1",8.0953928323259e-284,2.89933913653441,0.346,0.041,3.12530735684774e-279,"Epi"
"HES6",2.08807697605651e-290,2.89920895179712,0.4,0.053,8.06122997376377e-286,"Epi"
"CALN1",0,2.88817419848379,0.645,0.109,0,"Epi"
"CACNA1B",0,2.8856837133116,0.484,0.072,0,"Epi"
"CASC15",0,2.87579771329553,0.928,0.232,0,"Epi"
"EBF3",1.42288916126123e-172,2.87091877557136,0.252,0.035,5.49320589596509e-168,"Epi"
"DBNDD1",9.39054138004471e-208,2.86423447713485,0.271,0.034,3.62531240518006e-203,"Epi"
"SAMD12",0,2.84205749954868,0.657,0.106,0,"Epi"
"SCGB3A2",2.11670396277484e-217,2.82534423415095,0.275,0.033,8.17174731868853e-213,"Epi"
"SYT1",8.74760342114876e-258,2.82153690065667,0.55,0.119,3.37709977676869e-253,"Epi"
"PCDH11X",0,2.81834955128678,0.78,0.133,0,"Epi"
"SAMHD1",2.11097765628815e-263,2.81164788421866,0.309,0.034,8.14964033986605e-259,"Epi"
"TSPAN33",8.37963533983092e-229,2.79950294435793,0.305,0.039,3.23504201929513e-224,"Epi"
"SYNGR3",3.31625216519151e-192,2.79933123233208,0.26,0.033,1.28027231089383e-187,"Epi"
"TNNI3",0,2.77572624169036,0.533,0.074,0,"Epi"
"CXCL12",0,2.76056527195963,0.525,0.063,0,"Epi"
"EYA1",1.01050777215736e-179,2.72180120452713,0.254,0.034,3.90116630519071e-175,"Epi"
"RGS7",9.68495697266693e-219,2.72031862705962,0.299,0.039,3.73897448886779e-214,"Epi"
"CFAP95",9.68236410644562e-275,2.71456722236934,0.362,0.046,3.7379734869344e-270,"Epi"
"SYN3",0,2.70949446379564,0.752,0.195,0,"Epi"
"CBR1",5.86486302706539e-280,2.70927461118815,0.606,0.132,2.26418902022886e-275,"Epi"
"ST6GALNAC5",6.29335159513338e-297,2.70287096786756,0.42,0.058,2.42961131681719e-292,"Epi"
"BMAL2",3.29309476644392e-174,2.68183989627365,0.274,0.041,1.27133216553334e-169,"Epi"
"EPB41L4B",3.459741911568e-296,2.67509219596749,0.495,0.081,1.33566796237994e-291,"Epi"
"MANEAL",1.3291596399591e-168,2.66127392743918,0.25,0.035,5.13135370602611e-164,"Epi"
"DBNDD2",1.09126819979081e-260,2.66015671436466,0.401,0.059,4.21295001211242e-256,"Epi"
"DPPA4",0,2.65547536055403,0.953,0.461,0,"Epi"
"SYT14",0,2.65360580303347,0.572,0.09,0,"Epi"
"MAL2",0,2.6391072754082,0.648,0.124,0,"Epi"
"ZIC3",3.56726881791402e-267,2.61691984518854,0.394,0.056,1.37717979984389e-262,"Epi"
"TRPM3",0,2.60895956067796,0.533,0.082,0,"Epi"
"PREX2",1.18486268046666e-294,2.6055786790756,0.521,0.09,4.5742808642096e-290,"Epi"
"SEL1L3",1.39446870801629e-200,2.60361755703619,0.291,0.04,5.38348589416768e-196,"Epi"
"ADGRV1",0,2.59869800982832,0.843,0.264,0,"Epi"
"PRKG1",0,2.59824591569213,0.609,0.12,0,"Epi"
"SALL2",1.09204449262925e-275,2.59647425290345,0.504,0.089,4.21594696824447e-271,"Epi"
"FZD5",5.0234812774528e-164,2.59214315405621,0.321,0.059,1.93936518197343e-159,"Epi"
"CDH1",0,2.58387501485622,0.837,0.173,0,"Epi"
"AR",1.41300805197894e-229,2.56866920335769,0.357,0.053,5.45505888546991e-225,"Epi"
"GRHL2",0,2.54312845390175,0.684,0.096,0,"Epi"
"RAB6B",2.92209248886891e-187,2.53706279477421,0.265,0.035,1.12810302625273e-182,"Epi"
"CITED4",9.70301869079574e-180,2.53569233018151,0.288,0.043,3.7459473957686e-175,"Epi"
"LRP8",2.28290982844404e-181,2.53277656376204,0.305,0.048,8.81340168369106e-177,"Epi"
"PLCH1",0,2.53275123657376,0.661,0.131,0,"Epi"
"NRARP",7.08151877641816e-207,2.52666353110946,0.362,0.06,2.73389113882399e-202,"Epi"
"GALNT17",0,2.51677154567553,0.923,0.284,0,"Epi"
"GRID2",1.07758598734439e-227,2.51243056118495,0.807,0.342,4.16012846274176e-223,"Epi"
"TFAP2A",7.0558716697101e-236,2.50407904735363,0.491,0.099,2.72398981680828e-231,"Epi"
"CLDN6",0,2.50358002228929,0.94,0.276,0,"Epi"
"GPC4",9.40520413950553e-275,2.50230496212432,0.616,0.137,3.6309731100975e-270,"Epi"
"IL17RD",1.40770578879769e-141,2.502049211243,0.284,0.052,5.43458896823234e-137,"Epi"
"SCNN1A",5.3183578018026e-259,2.4993736453309,0.475,0.084,2.05320521296391e-254,"Epi"
"UNC5D",0,2.49711878826107,0.848,0.161,0,"Epi"
"PHC1",9.52737920423521e-307,2.48933971402396,0.799,0.236,3.67814001558705e-302,"Epi"
"UCHL1",0,2.48852174683996,0.965,0.406,0,"Epi"
"ENSG00000284294",2.04856846219715e-253,2.48579885533734,0.386,0.056,7.90870340515831e-249,"Epi"
"SCT",1.91167390496407e-161,2.48060665825904,0.252,0.037,7.38020827750427e-157,"Epi"
"TUBB2B",0,2.47747249289679,0.982,0.53,0,"Epi"
"NODAL",5.66580354810068e-162,2.45737238707986,0.333,0.064,2.18734011777975e-157,"Epi"
"SEMA4D",9.71803850479568e-211,2.45158999923571,0.397,0.07,3.75174594516142e-206,"Epi"
"ENHO",4.65035280067316e-175,2.4512992580616,0.268,0.038,1.79531520222788e-170,"Epi"
"ADD2",6.79283687658386e-285,2.4497920142256,0.536,0.097,2.62244260457396e-280,"Epi"
"MAP7",0,2.43719721128455,0.739,0.183,0,"Epi"
"SEPHS1",2.27136413676049e-289,2.42960612463226,0.925,0.477,8.76882838637753e-285,"Epi"
"TUNAR",3.72085234201315e-256,2.42894223942961,0.379,0.053,1.4364722551576e-251,"Epi"
"CHST8",8.78193006462512e-164,2.42535815034237,0.281,0.045,3.39035192074917e-159,"Epi"
"MTCL1",2.53662846489835e-218,2.41537556697527,0.461,0.092,9.79290785158658e-214,"Epi"
"FRAT2",3.75792912160397e-266,2.40742444715957,0.614,0.139,1.45078611668643e-261,"Epi"
"VWDE",1.27282525638128e-273,2.39985590874655,0.526,0.096,4.91386918478558e-269,"Epi"
"RYR1",8.5569312862177e-154,2.39655099979272,0.257,0.04,3.30348889235721e-149,"Epi"
"PPM1N",1.72289882675946e-272,2.36441961065017,0.401,0.056,6.65142321058756e-268,"Epi"
"DRAXIN",1.5829754239933e-166,2.34594157502074,0.304,0.051,6.11123492186853e-162,"Epi"
"KIF5C",0,2.34562700126355,0.627,0.12,0,"Epi"
"IGFBPL1",2.95298231785651e-188,2.34491477573106,0.308,0.047,1.14002835363169e-183,"Epi"
"ENSG00000266893",1.43292935668873e-137,2.34369531772015,0.281,0.052,5.53196707443252e-133,"Epi"
"XACT",0,2.32830785503451,0.766,0.18,0,"Epi"
"AASS",2.19073839248822e-213,2.32747970431008,0.843,0.39,8.45756463804003e-209,"Epi"
"TMEM158",1.81026840880129e-184,2.31732014241294,0.376,0.07,6.98872221901826e-180,"Epi"
"PLAAT3",3.83985849177031e-303,2.29992645805489,0.82,0.247,1.48241576933285e-298,"Epi"
"ELOVL7",9.0572740854477e-140,2.29057226212953,0.284,0.053,3.49665123342794e-135,"Epi"
"GPR160",3.60665182348598e-196,2.28901818039178,0.387,0.071,1.392384002975e-191,"Epi"
"MYEF2",5.52872668900638e-278,2.28725091838827,0.67,0.156,2.1344202255578e-273,"Epi"
"HEY2-AS1",2.03653762049384e-159,2.28583277924929,0.321,0.058,7.86225713767851e-155,"Epi"
"WNK2",1.93218006171012e-187,2.27917516867198,0.355,0.062,7.45937434623809e-183,"Epi"
"ETV4",1.10974560234763e-98,2.26238930545667,0.25,0.055,4.28428387242328e-94,"Epi"
"AP1M2",0,2.25695415527381,0.777,0.189,0,"Epi"
"ENSG00000236924",1.57281565227137e-217,2.24294244432641,0.535,0.123,6.07201210715884e-213,"Epi"
"THY1",1.48715559385908e-293,2.23469549800396,0.597,0.117,5.74131288565235e-289,"Epi"
"CYP2S1",3.90736908042952e-217,2.23301720682543,0.518,0.114,1.50847890719062e-212,"Epi"
"NUP210",2.50203461030571e-139,2.21369187605575,0.343,0.075,9.65935481654622e-135,"Epi"
"ANOS1",9.11034621914931e-114,2.21233879013665,0.304,0.071,3.51714026136478e-109,"Epi"
"CA11",1.46547131126357e-129,2.21131571152791,0.251,0.044,5.65759854426414e-125,"Epi"
"BEND3",1.01959419753756e-126,2.21059831329957,0.264,0.049,3.93624535901352e-122,"Epi"
"ZNF219",1.32435294712036e-231,2.20595786487359,0.518,0.106,5.11279698765286e-227,"Epi"
"TMEM108",9.58487374174864e-221,2.20265335183506,0.464,0.09,3.70033635673948e-216,"Epi"
"LINC01162",1.4564916181548e-104,2.19660915898292,0.26,0.056,5.62293154104842e-100,"Epi"
"POLR1G",4.0103179833504e-187,2.19444343550148,0.44,0.093,1.54822336065226e-182,"Epi"
"ESRP1",0,2.19199888058908,0.823,0.197,0,"Epi"
"CABLES1",2.7966817488354e-190,2.19087547052851,0.41,0.079,1.0796869559554e-185,"Epi"
"ASTN2",1.72733466994694e-198,2.17400094706909,0.739,0.258,6.66854822679717e-194,"Epi"
"USP43",2.5299073919462e-107,2.17393141944673,0.296,0.07,9.76696047734752e-103,"Epi"
"MAP3K21",5.70375316643869e-123,2.16540073684131,0.277,0.055,2.20199094743532e-118,"Epi"
"CCDC88C",8.0163155596246e-178,2.15831176850605,0.448,0.101,3.09477878494867e-173,"Epi"
"LINC02972",2.91593779758087e-160,2.15605075286108,0.39,0.085,1.12572694613407e-155,"Epi"
"PVT1",6.25397554905859e-275,2.14170120957228,0.818,0.247,2.41440980046956e-270,"Epi"
"ZNF589",1.44895779606413e-240,2.13916498549289,0.618,0.148,5.59384646748519e-236,"Epi"
"IFITM1",3.80992407481646e-218,2.13433456483535,0.957,0.721,1.47085928832364e-213,"Epi"
"SP5",1.04819219390138e-84,2.13384350511868,0.306,0.089,4.04665078377568e-80,"Epi"
"GRTP1",2.74056630199175e-214,2.11904222924766,0.546,0.127,1.05802302654694e-209,"Epi"
"CYP26A1",8.13730010621054e-89,2.10014548090925,0.282,0.073,3.14148607900364e-84,"Epi"
"SOX15",3.50616873655585e-134,2.08217013416547,0.258,0.045,1.35359150243475e-129,"Epi"
"PHACTR1",2.05671538439152e-218,2.07754542534868,0.583,0.14,7.94015541298192e-214,"Epi"
"TFAP2C",2.58253733223459e-215,2.06888859665774,0.332,0.048,9.97014362482487e-211,"Epi"
"SEMA6B",9.70695988905922e-125,2.06732428047027,0.271,0.052,3.7474689347702e-120,"Epi"
"KCNH8",5.43527484737261e-159,2.06116751732246,0.396,0.086,2.09834220757667e-154,"Epi"
"MDN1",2.13995958021923e-238,2.06076663246864,0.877,0.386,8.26152795539435e-234,"Epi"
"TESMIN",1.15701515305125e-157,2.05577847706983,0.409,0.092,4.46677269986966e-153,"Epi"
"FGD4",1.76979309203678e-247,2.05265232723184,0.904,0.391,6.83246321111721e-243,"Epi"
"DDX25",9.43260833037582e-194,2.04876843061144,0.465,0.098,3.64155277202489e-189,"Epi"
"ADCY1",1.00396595902151e-130,2.04355668020015,0.254,0.044,3.87591098139843e-126,"Epi"
"TENT5B",3.60681920149793e-143,2.04204560792358,0.441,0.117,1.39244862093029e-138,"Epi"
"JAG1",3.12912363112275e-150,2.04119060848552,0.356,0.074,1.20802946903125e-145,"Epi"
"COCH",5.13316300633463e-120,2.01269529585971,0.309,0.069,1.98170891022555e-115,"Epi"
"ALPL",1.00181009980441e-245,2.00930167114889,0.643,0.157,3.8675880713049e-241,"Epi"
"THSD4",2.24482150636495e-223,2.00199872724945,0.633,0.165,8.66635790747252e-219,"Epi"
"HELLS",5.18721031691787e-260,2.00004438909832,0.894,0.367,2.00257441494931e-255,"Epi"
"ERBB3",2.09878111823647e-182,1.98564826463571,0.46,0.103,8.10255438506373e-178,"Epi"
"NALF1",1.73705383343366e-248,1.97858014483148,0.889,0.351,6.70607002935399e-244,"Epi"
"DDAH1",6.04212675493868e-127,1.97090451929863,0.302,0.063,2.33262345501163e-122,"Epi"
"DSCC1",1.43945419969813e-182,1.97079857820152,0.565,0.153,5.5571568833546e-178,"Epi"
"ENSG00000243004",1.06069438048646e-71,1.96242576148225,0.329,0.11,4.09491672530601e-67,"Epi"
"JAKMIP2",1.00628795573092e-181,1.95464519989828,0.457,0.1,3.88487528189479e-177,"Epi"
"FHL2",2.01107899086703e-153,1.95351940709276,0.37,0.077,7.76397155214124e-149,"Epi"
"NLGN4X",1.00037228391792e-159,1.94618645805056,0.678,0.241,3.86203723929351e-155,"Epi"
"PDGFA",3.14639364614854e-160,1.94275750050701,0.482,0.124,1.2146967310321e-155,"Epi"
"BMP7",5.68734467201817e-117,1.93708992009989,0.322,0.075,2.19565628407934e-112,"Epi"
"CADPS2",1.40347784402391e-181,1.93305601927606,0.536,0.137,5.41826656463871e-177,"Epi"
"B3GALT1",8.39823792384973e-183,1.93169370708121,0.627,0.188,3.24222373288143e-178,"Epi"
"FAM20A",8.62933736966354e-103,1.92623359172927,0.313,0.079,3.33144198493231e-98,"Epi"
"LINC-PINT",1.37894929162927e-177,1.92174576675364,0.545,0.144,5.32357163526397e-173,"Epi"
"SPINK2",1.26053804537649e-115,1.92004812806267,0.258,0.05,4.86643317798047e-111,"Epi"
"TERF1",2.23612346973175e-191,1.91933006480943,0.948,0.668,8.6327782672464e-187,"Epi"
"PPP2R2B",1.03632119493942e-179,1.91581999355469,0.47,0.109,4.00082160518313e-175,"Epi"
"SCG3",9.72881750308202e-177,1.91015852874972,0.479,0.112,3.75590728523984e-172,"Epi"
"RIC3",2.43014071456358e-147,1.89643592338373,0.434,0.107,9.38180124264417e-143,"Epi"
"CCND1",1.50998267085226e-232,1.89606436507346,0.865,0.347,5.82943909909223e-228,"Epi"
"SHANK2",3.85651638705934e-216,1.88895144605966,0.709,0.21,1.48884671638813e-211,"Epi"
"NMNAT2",5.49334336566349e-140,1.88390232286036,0.299,0.057,2.12076013974805e-135,"Epi"
"DTNA",1.00570979806756e-183,1.88161129639337,0.66,0.208,3.88264324641964e-179,"Epi"
"PPP1R9A",5.02585465080251e-219,1.87790928691972,0.786,0.266,1.94028144648882e-214,"Epi"
"CD200",3.94352943232899e-100,1.87355660281062,0.255,0.055,1.52243897264493e-95,"Epi"
"GLDC",2.7398995756608e-259,1.86766289391497,0.687,0.165,1.05776563017961e-254,"Epi"
"DLGAP1",8.35420848743021e-223,1.86516422607529,0.904,0.417,3.22522572865731e-218,"Epi"
"OSBPL6",8.88190127177163e-134,1.85872060819365,0.391,0.096,3.42894680498015e-129,"Epi"
"YPEL1",1.51134485712745e-152,1.85515780561871,0.423,0.098,5.83469795542624e-148,"Epi"
